TAB NAME: Sri_Lanka_Hospitals_2026_Canonical_1206.csv>
index,hospitalId,sourceRow,Province,RDHS Division,category,categoryFullName,name,Authority,Remarks
0,MOH2026-0001,1,Western Province,RDHS Colombo,NH,National Hospital,NHSL,Line Ministry,
1,MOH2026-0002,2,Western Province,RDHS Colombo,TH,Teaching Hospital,Colombo South TH,Line Ministry,
2,MOH2026-0003,3,Western Province,RDHS Colombo,Special TH,Specialized Teaching Hospital,Lady Ridgeway Hospital,Line Ministry,
3,MOH2026-0004,4,Western Province,RDHS Colombo,Special TH,Specialized Teaching Hospital,De Soysa Maternity Hospital,Line Ministry,
4,MOH2026-0005,5,Western Province,RDHS Colombo,Special TH,Specialized Teaching Hospital,Castle Street Hospital for Women,Line Ministry,
5,MOH2026-0006,6,Western Province,RDHS Colombo,Special TH,Specialized Teaching Hospital,National Dental Hospital,Line Ministry,
6,MOH2026-0007,7,Western Province,RDHS Colombo,Special,Other Specialized Hospital,National Institute for Nephrology Dialysis & Transplantation - Maligawatte,Line Ministry,
7,MOH2026-0008,8,Western Province,RDHS Colombo,Special,Other Specialized Hospital,National Eye Hospital,Line Ministry,
8,MOH2026-0009,9,Western Province,RDHS Colombo,Special,Other Specialized Hospital,National Institute of Infectious Diseases,Line Ministry,
9,MOH2026-0010,10,Western Province,RDHS Colombo,Special,Other Specialized Hospital,"Apeksha Hospital, Maharagama",Line Ministry,
10,MOH2026-0011,11,Western Province,RDHS Colombo,Special,Other Specialized Hospital,National Institute of Mental Health,Line Ministry,
11,MOH2026-0012,12,Western Province,RDHS Colombo,Board Managed Hospital,Board Managed Hospital,Sri Jayawardanapura General Hospital,Line Ministry,
12,MOH2026-0013,13,Western Province,RDHS Colombo,DGH,District General Hospital,DGH Avissawella,Provincial Ministry,
13,MOH2026-0014,14,Western Province,RDHS Colombo,BHA,Base Hospital Type - A,"Colombo East Base Hospital, Mullariyawa",Line Ministry,
14,MOH2026-0015,15,Western Province,RDHS Colombo,BHA,Base Hospital Type - A,BHA Homagama,Provincial Ministry,
15,MOH2026-0016,16,Western Province,RDHS Colombo,DHA,Divisional Hospital Type - A,DHA Moratuwa,Provincial Ministry,
16,MOH2026-0017,17,Western Province,RDHS Colombo,DHA,Divisional Hospital Type - A,DHA Wethara,Provincial Ministry,
